Date,iShares MSCI Emerging Markets,Vanguard Total World Stock ETF,FTSE100,DAX,S&P500,Hang Seng,Nikkei225,Russell 2000,STOXX50,VIX Index,RSI,MACD,MACD_Signal,Bollinger_High,Bollinger_Low,EUR/USD,GBP/USD,USD/JPY,USD/CNY,US 10Y Yield,US 2Y Yield,Germany 10Y Yield,Class
2019-01-24,36.29304885864258,60.82233428955078,6819.0,11130.1796875,2642.330078125,27120.98046875,20574.630859375,1464.4100341796875,3126.31005859375,18.889999389648438,92.04027923984708,16.17080831807425,2.970580051612713,2816.572790436735,2619.207190032015,6.790999889373779,1.1388224363327026,1.308215618133545,109.49199676513672,11130.1796875,2.305000066757202,2.7119998931884766,Slightly Positive
2019-01-25,36.772315979003906,61.43874740600586,6809.2001953125,11281.7900390625,2664.760009765625,27569.189453125,20773.560546875,1482.8499755859375,3163.239990234375,17.420000076293945,92.24615417828745,19.114223984129694,6.19930883811611,2816.572790436735,2619.207190032015,6.787600040435791,1.1313496828079224,1.3121638298034668,109.59700012207031,11281.7900390625,2.328000068664551,2.753000020980835,Strong Positive
2019-01-28,36.38890075683594,61.042484283447266,6747.10009765625,11210.3095703125,2643.85009765625,27576.9609375,20649.0,1473.5400390625,3137.27001953125,18.8700008392334,80.27450542574115,19.534465788021862,8.866340228097261,2816.572790436735,2619.207190032015,6.746399879455566,1.1413049697875977,1.3208470344543457,109.4000015258789,11210.3095703125,2.3329999446868896,2.74399995803833,Strong Negative
2019-01-29,36.44989776611328,61.07771301269531,6833.89990234375,11218.830078125,2640.0,27531.6796875,20664.640625,1471.449951171875,3153.419921875,19.1299991607666,77.24000114600045,19.333969772475484,10.959866136972906,2816.572790436735,2619.207190032015,6.74429988861084,1.143000841140747,1.3160146474838257,109.25399780273438,11218.830078125,2.365000009536743,2.7119998931884766,Slightly Negative
2019-01-30,37.24285888671875,61.940677642822266,6941.60009765625,11181.66015625,2681.050048828125,27642.849609375,20556.5390625,1486.93994140625,3161.739990234375,17.65999984741211,80.58566924900413,22.231203629519314,13.214133635482188,2816.572790436735,2619.207190032015,6.73199987411499,1.1435366868972778,1.30804443359375,109.41699981689453,11181.66015625,2.365000009536743,2.694999933242798,Strong Positive
2019-01-31,37.556549072265625,62.2489013671875,6968.89990234375,11173.099609375,2704.10009765625,27942.470703125,20773.490234375,1499.4200439453125,3159.429931640625,16.56999969482422,82.73478798600144,26.0865194795374,15.788610804293231,2816.572790436735,2619.207190032015,6.7154998779296875,1.1487650871276855,1.3117163181304932,108.98100280761719,11173.099609375,2.3399999141693115,2.634999990463257,Strong Positive
2019-02-01,37.260284423828125,62.2577018737793,7020.2001953125,11180.66015625,2706.530029296875,27930.740234375,20788.390625,1502.050048828125,3171.1201171875,16.139999389648438,88.27928531804733,29.00362451308274,18.431613546051135,2816.572790436735,2619.207190032015,6.69980001449585,1.1449507474899292,1.3109424114227295,108.84400177001953,11180.66015625,2.3399999141693115,2.690999984741211,Slightly Positive
2019-02-04,37.32127380371094,62.58352279663086,7034.10009765625,11176.580078125,2724.8701171875,27990.2109375,20883.76953125,1517.5400390625,3165.199951171875,15.729999542236328,87.73650728007709,32.42160698348198,21.229612233537303,2816.572790436735,2619.207190032015,6.743800163269043,1.1455278396606445,1.3077365159988403,109.43800354003906,11176.580078125,2.3350000381469727,2.7239999771118164,Strong Positive
2019-02-05,37.83539581298828,63.015018463134766,7177.39990234375,11367.98046875,2737.699951171875,27990.2109375,20844.44921875,1520.22998046875,3215.0400390625,15.569999694824219,88.14913230900106,35.75349901478785,24.13438958978741,2816.572790436735,2619.207190032015,6.743800163269043,1.1436283588409424,1.3031013011932373,109.96099853515625,11367.98046875,2.365000009536743,2.7019999027252197,Slightly Positive
2019-02-06,37.32127380371094,62.75083923339844,7173.10009765625,11324.7197265625,2731.610107421875,27990.2109375,20874.060546875,1518.02001953125,3212.75,15.380000114440918,84.19252541047693,37.470708950827884,26.801653461995507,2816.572790436735,2619.207190032015,6.734799861907959,1.140992522239685,1.2957228422164917,109.94100189208984,11324.7197265625,2.365000009536743,2.7019999027252197,Slightly Negative
